UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Bisnis.com,@Bisniscom,2024-02-16T07:54:11.000Z,"Polisi Sebut 514 TPS di Papua Belum Mencoblos di Pemilu 2024, Ini Penyebabnya",,,
Harian Jogja,@Harian_Jogja,2024-02-16T07:54:05.000Z,"Kelelahan, 4 Petugas KPPS di Kulonprogo Sakit Saat Bertugas pada Pemilu 2024 https://jogjapolitan.harianjogja.com/read/2024/02/16/514/1165059/kelelahan-4-petugas-kpps-di-kulonprogo-sakit-saat-bertugas-pada-pemilu-2024?utm_source=dlvr.it&utm_medium=twitter… #beritajogja #jogja #jogjaistimewa",,,
aksara,@aksara_swaraa,2024-02-16T07:54:00.000Z,"Pilihan gw di pemilu 2024 
Presiden : ganjar - mahfud ( kalah )
DPR-RI : vita ervina 
DPD RI : chasyta khatmandu
DPRD prov : m. isnaeni
DPRD kab/kota : tauhid 

Ada yg samaan kita satu dapil …?",,,
Humas Polsek Kelapa Dua,@PolsekKelapaDua,2024-02-16T07:53:52.000Z,"Personil Polsek Kelapa Dua melaksanakan pengamanan pemungutan suara #Pemilu2024 di salah satu TPS di Kel. Bojong Nangka Kec. Kelapa Dua, Rabu (14/2). 

#PolsekKelapaDua #PolresTangerangSelatan #PoldaMetroJaya",,,
Polres Tolitoli,@PolresTolitoli,2024-02-16T07:53:28.000Z,"Demi menjaga keamanan dan kelancaran Pemilu 2024 Kawal Ketat Kotak Suara.

#pemilu2024",,,
Sang Khidir,@j_a_purnomo,2024-02-16T07:53:19.000Z,"H+2 Pemilu 2024: 

Stlh selesai pemilu 2024 ini, kira2 legacy/warisan apa yg bisa dberikan kpd gnerasi muda bangsa ini? Kalau org Jawa bilang: ""ngunduh wohing pakarti""/menuai apa yg  ditabur..maka, apakah yg sbnarnya sdg dtabur & apakah yg akan dituai kelak? Indonesia Emas kah?",,,
Fresh Graduate,@Fresh_Graduate1,2024-02-16T07:52:45.000Z,"Ini menunjukkan keinginan masyarakat untuk ikut serta dalam menentukan arah masa depan demokrasi bangsa #Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",1,,
tvOnenews,@tvOneNews,2024-02-16T07:52:37.000Z,"Soal Dugaan Kecurangan Pemilu 2024, Timses Paslon 1 dan 3 DIY Beberkan Sejumlah Temuan",,,2
tvOnenews,@tvOneNews,2024-02-16T07:52:36.000Z,"Soal Dugaan Kecurangan Pemilu 2024, Timses Paslon 1 dan 3 DIY Beberkan Sejumlah Temuan",,,2
Binmastrc,@binmastrc,2024-02-16T07:52:35.000Z,"Pelayanan Kesehatan Kepada Petugas Pengamanan TPS dan PPS Pemilu 2024 Polres Bojonegoro.

@divisihumaspolri
@spripim_polri
@humaspoldajatim
#operasimantapbrata
#netralitaspolri
#Pemiluindonesiadamai2024",,,
