UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Nuriyana Sari,@Nuriyanasa80976,2024-02-08T16:38:43.000Z,"Kritik gak beradab dengan alasan negara demokrasi, sehingga muncul sebutan belimbing sayur dan samsul. 
#Pemilu2024",,,
dj.sabdo,@NaylaApl,2024-02-08T16:28:05.000Z,"hello...
gimaana....sudah pas dengan pilihan nya

#Pemilu2024",,,
Aa sunda,@Aajarrr_,2024-02-08T16:27:11.000Z,"unggul survey tahun 2019 juga, tapi pas pemilu kalah mulu",,,
KRS,@kingsilalahi,2024-02-08T16:26:39.000Z,"Gak harus jenderal, siapa pun #menclamencle kalau udah urusan politik. 
#Pemilu2024
#moraletika",,,
TogarcmSiregar,@togarcmsiregar,2024-02-08T16:26:26.000Z,"Ngga berharap apapun dari proses Pemilu 2024 di Indonesia  penegakkan hukum atas perisitiwa masa lalu saja belum bisa diselesaikan, bahkan yang sudah bertahun tahun  Haruskah optimis? Sebagai warga sipil, menjadi apatis saat ini adalah wajar. #Indonesia",,,
BUARANbong,@Kusum62845,2024-02-08T16:10:37.000Z,"Prediksi pemilih Anis :
Massa epei 7 jt (katanya!!)
Keluarga massa epei 7 jt
Pendukung cak imin 7 jt
Totalnya 21 jt
Total pemilih pemilu 2024 adalah 204,8 jt",,,
Tristan GGS,@isyana1515,2024-02-08T16:05:04.000Z,"Kalo ngomongin partai mah, Golkar tiap capresnya kalah pemilu langsung merapat ke presiden terpilih 

Perlu diingat: Jusuf Kalla walaupun kader Golkar dan menang Pemilu 2004 dan 2024, tapi Golkar nyalonin capres lain dalam pemilu tersebut (Wiranto dan Prabowo)",,,
N I A,@NIAKUSNIAW14530,2024-02-08T16:02:12.000Z,"Dulu saya membenci sama pak anies baswedan ternyata saya salah orang harusnya beliau lah yang menjadi presiden 2024 kalaw pak anies tidak menjadi presiden bener ""rugi ini waktunya semua rakyat harus mesuarakan beliau tinggal tunggu beberapa hari lagi pemilu akan segera dimulai ",,,
Theo,@angelohanakin,2024-02-08T15:58:47.000Z,"Wondering fenomena artis2 jaman pemilu 2024...
artis 02 dan non 02 ..t
.kalo di ambil 20 teratas ..kira2  jumlah folowernya banyakan mana yak..? 
#Pemilu2024",,,
Sitra Dewi,@sitraaaaa_,2024-02-08T15:58:03.000Z,"Kenapa semua orang hanya berpatokan pada satu orang, sedangkan ada puluhan pelaku yg Masi duduk manis berlindung pada orang yang kuat, apa tidak ada pertanyaan,..? Siapa orang yg meminta melakukan aksi itu, kenapa tidak d perjelaskan siapa yang mengusut kasus itu.?
#Pemilu2024",1,,
nyai,@__nyai__,2024-02-08T15:57:36.000Z,"Setelah pemilu 2024,kusus buat pendukung Prabowo.Tolong Baliho,benner disimpang yg rapi biar 2029 bisa dipakai lagi.",,,
@Rarlie La,@Rarlie La,2024-02-08T15:43:31.000Z,AMIN menang Pemilu 2024,,,
thebluecapfay,@thebluecapfay,2024-02-08T15:42:11.000Z,"“Ini bukan dari Gubernur ya..ini dari sama2” sifat baik yg mendasar tapi sedikit orang punya  ya Allah, ridhoilah Anies dan Muhaimin jadi pemimpin Indonesia hasil Pemilu 2024",,,1
lulu bismillah maba 2024,@madebylus,2024-02-08T15:41:54.000Z,mendekati pemilu nderr,,,
Lia Lia,@amlliaa_00000,2024-02-08T15:37:43.000Z,"Untuk Pak Anies yg semoga di rahmati Allah ta'ala
Semoga bapak bisa menang di pemilu ini , dan menjadi presiden RI 2024-2029 , pak kalau bapak menang saya pengen banget pak jalan di Lampung di perbaiki , waktu saya main ke JKT jalan nya bagus , di Lampung jelek ",,,
antstinger,@antstinger049,2024-02-08T15:32:06.000Z,"Putusan DKPP ini telah memperkuat putusan MK bahwa pencalonan Gibran Rakabuming Raka sebagai Calon Wakil Presiden RI cacat secara etika. Lebih penting, ini memperkuat bukti bahwa pemilu 2024 cacat integritas. Gak kebaca kah ini? Kpu ngmg gak berkaitan nyatahya sangat berkaitan",,,
wid-ZEN,@Sahambat00,2024-02-08T15:29:22.000Z,"Temen2 se tim udah mulai terjun ke desa2 baru, meanwhile gue blm  habis pemilu keknya bakal mulai dah ini proyek 2024  semangat diriku, gpp tahun ini ganti partner semoga bisa diajak kerja sama dgn baik",,,
Sugeng Riyadi,@SugengR46374688,2024-02-08T15:26:46.000Z,PRESIDEN JOKOWI LAH YANG  MAMPU  MENERIMA KRITIK DAN SARAN YANG DI SAMPAIKAN OLEH AKADEMISI DAN PARA REKTOR WALAUPUN CUMA 32 PERGURUAN TINGGI . TETAP MENGHORMATI  TIDAK AKAN BERKAMPANYE DI PEMILU 2024 INI  WALAUPUN ATURAN TELAH DI TENTUKAN .,,,1
bernafas dengan hidung,@apeeputri,2024-02-08T15:21:05.000Z,"Pas pemilu 2019 sampe pemilu 2024 ku ditanya ""pilih siapa? "" jawabnnya masih sama ""asal bukan prabowo"". 2019 aku inget akhirnya ku nyoblos jokowi dan skrng kinerjanya kurasa kureng makannya keknya tahun ini gatau mau ngapain dibilik suara nanti.",,,
