UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Diladew,@diladeww,2024-01-18T11:37:53.000Z,ayo pak jangan kasih kendor untuk para caleg yang melakukan transaksi mencurigakan #PPATKdukungPemiluBersih,,,
Auris.,@alunaauristela3,2024-01-18T13:20:06.000Z,"Baru tau info ini, ayo gass pak harus bener-bener di usut! 
#PPATdukungPemiluBersih",,,
caturnia1703,@caturnia1703,2024-01-18T11:51:19.000Z,"waww emang harus diusut tuntas nih biar pemilu 2024 bersih dan luber jurdil karna gaada kecurangan lagi.
#PPATKdukungPemiluBersih",,,
Risfa Caniago,@risfa_caniago,2024-01-18T11:38:28.000Z,"Satukan suara kita untuk mewujudkan pemilu bersih dan adil, di mana setiap suara dihargai dan demokrasi kita diperkuat. Wujudkan masa depan yang lebih baik melalui partisipasi dan keputusan yang transparan. #PPATKdukungPemiluBersih",,,
Margö,@kidossuck,2024-01-18T11:51:42.000Z,wah parah banget seharusnya tidak boleh seperti ini #PPATKdukungPemiluBersih,,,
dilanmarmu,@dilanmarmu,2024-01-18T11:40:15.000Z,masyarakat harus bersama #PPATKdukungPemiluBersih agar tidak ada kecurangan,,,
Tanya Chen,@TanyaCh00774934,2024-01-18T12:54:15.000Z,"aduhh untuk ppatk telah menyelidiki setiap transaksi mencurigakan yang dilakukan oleh para caleg
#PPATKdukungPemiluBersih",,,
,@Parkjiy70204374,2024-01-18T11:38:57.000Z,"harus diusut tuntas sih ini, biar kedepannya kinerja para calon pemimpin, caleg, parpol dll bisa berfokus ke tugasnya masing-masing
#PPATKdukungPemiluBersih",,,
ra,@mikopicu,2024-01-18T11:33:23.000Z,mantap ppatk semoga pemilu 2024 ini menjadi pemilu yang adil dan bersih yaa #PPATKdukungPemiluBersih,,,
Heather,@Heather33056361,2024-01-18T12:52:40.000Z,"bagusss nih kalau ppatk juga mendukung pemilu bersih, jadi tidak ada yang curang 
#PPATKdukungPemiluBersih",,,
Dean Evanof,@DeanEvanof92454,2024-01-18T13:02:51.000Z,"ayo bersama ppatk berantas kecurangan dalam pemilu 2024 ini gaisss
#PPATKdukungPemiluBersih",,,
aster +=♡,@haechieh,2024-01-18T11:45:22.000Z,"Waduh baru tau terimakasih ppatk semoga dengan ini pemilu 2024 bersih dan tidak ada transaksi2 seperti ini   #PPATKdukungPemiluBersih
http://kompas.id/baca/polhuk/20…",,,
lak,@macadepandmu,2024-01-18T11:38:28.000Z,dukung terus pemilu bersih agar terlaksana dengan baik #PPATKdukungPemiluBersih,,,
pubu,@coupsoftears,2024-01-18T11:43:30.000Z,Waduh bahaya juga nih. semoga dengan adanya PPATK dapat meminimalisir adanya praktek transaksi mencurigakan agar bisa mewujudkan pemilu yang bersih #PPATKdukungPemiluBersih,,,
sopiepie,@sofies0605,2024-01-18T11:35:56.000Z,"sip deh pak, bersihkan & tuntaskan sampe ke akarnya #PPATdukungPemiluBersih",,,
٩(ˊⰙˋ⠕)و,@pairujeuuu,2024-01-18T13:10:54.000Z,"harus diselidiki sih ini, mencurigakan sekali #PPATKdukungPemiluBersih",,,
𝐋 𝐈 𝐀,@akasiaparadoxa,2024-01-18T11:34:09.000Z,Kerja bagus PPATK  Lanjutkan terus kinerjanya supaya semakin mewujudkan pemilu yang adil dan bersih  #PPATKdukungPemiluBersih,,,
hei,@Aliyaa928108,2024-01-18T11:32:15.000Z,Harus tetap selalu mendukung pemilu yang bersih dan aman #PPATKdukungPemiluBersih,,,
sora,@aixoura,2024-01-18T11:41:29.000Z,"wihh ngeri banget liat angkanya, kawal terus kalo ada yg mencurigakan kaya gini, jgn sampe ada kecurangan"" di pemilu kali ini, yang bersih bersih ajaa #PPATKdukungPemiluBersih",,,
Ririnni0210,@febria98936,2024-01-18T11:32:02.000Z,"Harus diusut tuntas! agar kedepannya kinerja para calon pemimpin, caleg, parpol dll bisa berfokus ke tugasnya masing2. Yakni melayani masyarakat dn mensejahterakan rakyat indonesia
#PPATKdukungPemiluBersih",,1.0,
lol,@playinwthme,2024-01-18T11:33:46.000Z,"ya ampun bener bener harus dihindari yang beginian tuh, semangat terus pak kepala ppatk ivan yustiavandana dalam mengungkap transaksi mencurigakan pemilu 2024  #PPATKdukungPemiluBersih",,,
yeoboraa,@yeoboraa,2024-01-18T13:34:34.000Z,"yuk dukung pemilu bersih dan dukung ppat usut tuntas transaksi mencurigakan jelang pemilu
#PPATKdukungPemiluBersih",,,
Luv,@w1shmelvck,2024-01-18T11:45:06.000Z,"Usut tuntas hingga wujudkan pemilu 2024 luberjudil 
#PPATKdukungPemiluBersih",,,
seoyaa,@youngse0o,2024-01-18T13:35:36.000Z,"Harus di usut tuntas sih ini, untuk meminimalisir kecurangan menjelang pemilu
#PPATKdukungPemiluBersih",,,
shi,@riax_ria,2024-01-18T11:49:52.000Z,Wah yuk di usut #PPATKdukungPemiluBersih,,,
Renata,@Rnataa10,2024-01-18T11:32:49.000Z,"pakcara kerjanya beneran yah, karna ngungkap sejumlah temuan yg mengejutkan menjelang pemilu 2024 itu termasuk hal yang cukup ekstrim . Kita ngga tau ada apa aja di balik politik. Semangat bapakk #PPATKdukungPemiluBersih",,,
123,@windflower622,2024-01-18T11:47:05.000Z,"memang kalau mau pemilu ada ajaaa yang terjadi, semoga tahun ini pemilu bersih dan adil #PPATKdukungPemiluBersih",,,
sududi,@xsehunyluv,2024-01-18T11:34:30.000Z,mari kita dukung pemilu terlaksana dengan bersih #PPATKdukungPemiluBersih,,,
jinme,@jinme0412,2024-01-18T11:43:40.000Z,"wah parah banget nih, semoga pemilu tetap bersih dan terhindar dari kecurangan #PPATKdukungPemiluBersih",,,
nubb,@nubbystumps,2024-01-18T11:37:32.000Z,"bisa yuk dibersihin temuan temuan transaksi caleg yang mencurigakan ini demi pemilu yang bersih
#PPATKdukungPemiluBersih",,,
na~,@Jis0ngie,2024-01-18T12:02:26.000Z,"bahaya juga ya kalo ada hal yang mencurigakan, semoga pemilu tahun ini dilancarkan deh #PPATKdukungPemiluBersih",,,
strawberry cake,@berriesbbllue,2024-01-18T11:33:11.000Z,keren ppatk semoga pemilu skrg bersih dah #PPATKdukungPemiluBersih,,,
J,@sweetlikerosess,2024-01-18T11:45:11.000Z,keren banget pak ivan yustiavandana bisa mengungkap hal yg mencurigakan #PPATKdukungPemiluBersih,,,1.0
best town,@besttown5,2024-01-18T11:40:35.000Z,"masih ada aja yg mau berbuat curang, please semoga pemilu ini berjalan dengan transparan #PPATKdukungPemiluBersih",,,
apex,@alphaf3male__,2024-01-18T11:50:01.000Z,harapan pemilu tahun ini ga ada hal mencurigakan #PPATKdukungPemiluBersih,,,
migi,@dignimssi,2024-01-18T11:51:18.000Z,"loh beneran ta? bahaya bgt ini lho
#PPATKdukungPemiluBersih",,,
chr:3,@violeteis,2024-01-18T11:35:34.000Z,pokoknya dukung terus pemilu yg bersih dan semangat terus ppatk untuk mengungkap hal hal yg tdk mengenakan menjelang pemilu ini #PPATKdukungPemiluBersih,,,
pat,@fvqbt2,2024-01-18T11:33:31.000Z,"semuanya harus ditindaklanjuti sih ini ga bisa dibiarin gitu aja
#PPATKdukungPemiluBersih",,,
Ayesha,@Oxpicknavaari,2024-01-18T13:03:08.000Z,"Berantas semua hingga ke akar2nya.. Semoga dengan adanya temuan PPATK ini semua menjadi sadar sehingga ke depannya indonesia makin bersih darisegala kecurangan pemilu..
#PPATKdukungPemiluBersih",,,
,@cnnfer,2024-01-18T12:54:47.000Z,"niceee ppatk terus dukung pemilu bersih tahun ini!! 
#PPATKdukungPemiluBersih",,,
shanin,@shanindyya_,2024-01-18T11:36:41.000Z,ayo terus selidiki sampai tuntas #PPATKdukungPemiluBersih,,,
Allen,@glssyblssm,2024-01-18T11:39:58.000Z,semoga pemilu tahun ini bersih dari kecurangan #PPATKdukungPemiluBersih,,,1.0
Gina,@GinaBel48521008,2024-01-18T12:53:34.000Z,"memang sudah sepatutnya di selidiki sih untuk para caleg yang curang dan mencurigakan
#PPATKdukungPemiluBersih",,,
Ratih Kusumaningrum,@RatihKusum51059,2024-01-18T11:42:52.000Z,"berantas segala praktek kecurangan dalam pemilu agar terwujud pemilu yg jujur dan adil
#PPATKdukungPemiluBersih",,,
nohhyuck,@chanhaeeluv,2024-01-18T11:38:05.000Z,Semoha  PPATK ini semakin bersih dan tanggap #PPATKdukungpemilubersih,,,
—,@uniqcornxx,2024-01-18T12:20:47.000Z,"waduh diluar nalar ternyata, salut sih sama pa ivan yustiavandana! semoga bisa diusut tuntas ya pak #PPATKdukungPemiluBersih",,,
bebek | aktif sesuai kebutuhan,@nanalourfff,2024-01-18T12:01:28.000Z,"hadeh bisa-bisanya ada temuan ginian, kudu diusut sampe ke akarnya ini  #PPATKdukungPemiluBersih",,,
kykykvr,@kykykvr,2024-01-18T11:46:08.000Z,semoga kasus-kasus ini bisa didalami lebih lanjut #PPATKdukungPemiluBersih,,,
Jusjambu,@Njusjambu,2024-01-18T11:34:04.000Z,waduh banyak banget ternyata. ngeri yah untung ppatk cepat tanggap. semoga pemilu bisa berjalan secara bersih dan jujur #PPATKdukungPemiluBersih,,,
Triaaawulan,@triaaawul,2024-01-18T11:33:48.000Z,"dukung terus pokoknuaa pemilu yg bersih , semangat terus ppatk untuk mengungkap hal hal yg tidak mengenakan menjelang pemilu ini #PPATKdukungPemiluBersih",,,
prettygirll,@prettygirrlls,2024-01-18T11:42:20.000Z,"yaa ampunn, yukk kita dukung pemilu bersih 
#PPATKdukungPemiluBersih",,,
freetag forever,@freetagpicknava,2024-01-18T13:38:52.000Z,"Miris liatnya para caleg 2024 melakukan transaksi mencurigakan, keren pak ivan yustiavandana #PPATKdukungPemiluBersih",,,
kij,@kijbumm,2024-01-18T11:44:16.000Z,"aduh harus diusut tuntas sih ini, supaya caleg caleg yang nanti kepilih benar-benar bersih #PPATKdukungPemiluBersih",,,
,@fmrget,2024-01-18T12:51:16.000Z,"sangat di sayangkan jika para caleg melakukan hal yang mencurigakan, akan ada banyak masyarakat yang di rugikan
#PPATKdukungPemiluBersih",,,
siapa,@siapaorkay,2024-01-18T11:44:49.000Z,ngerii bgtt woey bacanyaa #PPATKdukungPemiluBersih kayaa semuanya terbongkar gitu loh ya ga si,,,
.rar,@rarenesia,2024-01-18T11:48:12.000Z,"semoga ini jadi pertanda kalau pemilu tahun ini bersih, lancar, dan sukses #PPATKdukungPemiluBersih",,,
Ika,@pecintasawo,2024-01-18T11:34:22.000Z,"semoga kinerja ppatk tetap mendukung pemilu yang bersih, semangat terus
#PPATKdukungPemiluBersih",,,
Mahen Putra,@MahenPutra2,2024-01-18T11:47:42.000Z,"waduhh, semogaa indonesia diberi pemimpin yg amanah dan tdk ada sedikitpun kecurangan",,,
,@syifarmaci,2024-01-18T11:30:18.000Z,"waduh, ayo wujudkan pemilu yg luber jurdil  #PPATKdukungPemiluBersih",,,
mas jew,@qiuint,2024-01-18T12:57:04.000Z,"sangat di sayangkan jika para caleg melakukan hal yang mencurigakan, akan ada banyak masyarakat yang di rugikan
#PPATKdukungPemiluBersih",,,
bee,@funnyIicious,2024-01-18T11:37:40.000Z,"Wahh temuan yang mengejutkan jelang pemilu nih, ngerii. Jika terbukti melanggar aturan semoga segera diproses #PPATKdukungPemiluBersih",,,
Berrypie,@FernindaA57086,2024-01-18T11:39:07.000Z,"Wahh, semangatt pak untuk mengungkap semuaaa!
#PPATKdukungPemiluBersih",,,
Sukma Bhayangsari,@SukmaQAH,2024-01-18T11:35:57.000Z,"jangan salah pilih dalam pemilu ,pemimpin yang bersih menciptakan masyarakat sejahtera #PPATKdukungPemiluBersih
http://kompas.id/baca/polhuk/20…",,,
Widhia,@Widhia22949429,2024-01-18T11:43:14.000Z,"Waduh bener bener harus di hindari yang begini begini, dukung bgt #PPATdukungPemiluBersih dengan pemilu yang bersih semoga menjadi langkah baik buat politik Indonesia",,,
Gigixx,@Gillskyy_,2024-01-18T11:44:00.000Z,ayo dukung parpol bersih dari korupsi #PPATKdukungPemiluBersih,,,
frey hreee,@BriaWinfrey12,2024-01-18T12:51:18.000Z,"waduh sangat tidak pantas jika seorang caleg melakukan hal curang seperti ini, terimakasih untuk ppatk yang terus mendukung pemilu bersih 
#PPATKdukungPemiluBersih",,,
yayays,@yayaysyana,2024-01-18T11:51:08.000Z,agar tercipta suasana pemilu yg kondusif mari kita dukung #PPATKdukungPemiluBersih,,,
Cipeyy,@Cipeyy769236,2024-01-18T14:34:34.000Z,"ayo ppatk pasti bisa menangkap caleg yang melakukan kecurangan agar tidak ada masyarakat yang di rugikan
#PPATKdukungPemiluBersih",,,
Dendi,@Yllw123,2024-01-18T11:32:31.000Z,"Lanjutkan pak biar kita masyarakat bisa benar2 menilai para caleg... 

#PPATKdukungPemiluBersih",,,
Alin,@vagarytan_,2024-01-18T11:32:56.000Z,Kerenn bangett #PPATKdukungPemiluBersih gas keunn wujudkan pemilu luber jurdil ,,,
,@fleurcassee_,2024-01-18T12:11:25.000Z,"serem juga ya, semoga nanti yang terpilih pemimpin yang amanah #PPATKdukungPemiluBersih",,,
flylilies,@flylilixx,2024-01-18T11:37:41.000Z,"waduhhh ada ada ajaa yaa, aku dukung bangett ni yang kaya gini semangat teruss untuk  ppatk demi mewujudkan pemilu yang bersih #PPATKdukungPemiluBersih",,,
Corey taylor666,@Corey111taylor,2024-01-18T11:36:04.000Z,"Kawal terus transaksi transaksi yang mencurigakan, demi pemilu yang jujur dan bersih #PPATKdukungPemiluBersih",,,
Sunset,@Opacarophiledel,2024-01-18T11:40:06.000Z,"untungnya ppatk sigap dalam melakukan tugasnya, terima kasih ppatk atas kerja kerasnya dalam mewujudkan pemilu bersih #PPATKdukungPemiluBersih",,,
'Ale,@letta_samoyed,2024-01-18T11:31:49.000Z,ayo patuhi 5 asas dalam menjalankan pemilu yaitu luberjudil #PPATKdukungPemiluBersih,,,
Lion,@babyL_3,2024-01-18T13:30:23.000Z,Dukung #PPATKdukungPemiluBersih untuk pemilu yg berish dan disiplin semua demi kebaikan negara,,,1.0
