UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Radio Elshinta,@RadioElshinta,2024-02-01T19:20:00.000Z,Bapanas sebut bantuan beras telah dilakukan jauh hari sebelum Pemilu 2024,,,
𓆩ᥫ᭡𓆪,@peachyybracelet,2024-02-01T19:08:46.000Z,gula gula jokowi marak di bagi bagikan jelang Pemilu #Pemilu2024Netral,,,
Two-Sided,@honeydewww_,2024-02-01T19:05:38.000Z,Cape gasi liat komen tiktok kek pengen liat komen lucu tapi selalu ada yang bawa bawa pemilu anjingg. Kek lu ga bahas pemilu matikah?,,,
~mi casa,@dytarii,2024-02-01T19:01:29.000Z,"Abah 
@aniesbaswedan
, terima kasih banyak sudah mampir ke kota Medan lagi. Abah keren, masih kelihatan tidak lelah sama sekali. 

Abah, saya harap foto Abah dan Gus 
@cakimiNOW
 terpampang di Aula saat saya wisuda nanti. Kita kawal pemilu sama², ya.

Salam perubahan dari anak Abah",,,
Bayu Pramana Putra,@byoe_pp,2024-02-01T18:58:34.000Z,"Hari² menjelang pemilu sangat berat ingin rasanya cpat selesai pemilu, lelah dengan timeline yang isinya kampanye. Yg paling bkin lelah adalah pernyataan orang² yg merasa plihannya sudah sempurna dan orang yang tidak memilih orang yang dia dukung itu bodoh dan keterlaluan ",,,
KPU KOTA JAMBI,@kpu_kota_jambi,2024-02-01T18:52:30.000Z,"wahai #temanpemilih, ini salah satu pejuang Demokasi yg saat ini masih berjibaku dengan keterpenuhan logistik pemilu 2024 di kota jambi, jauh sebelumnya mereka sudah jarang tidur mengatur agar masyarakat kota jambi terpenuhi haknya untuk memilih,tetap semangat dan ceria....",,,
speak up,@suarafaradi,2024-02-01T18:50:38.000Z,"Sejatinya, ketika kita ikut andil dalam pemilu bukan berarti kita bela paslon mati matian, tp justru kita sedang membela diri kita sendiri untuk masadepan kita sendiri. Cukup dengan begitu sih.",,,
Submarine,@NINOMAHEDAR,2024-02-01T18:41:43.000Z,"Premis StandUp Comedy yg bagus - 
Ceweklu bilang klo temen cowoknya udah dilebeli Adik Kakak sndiri jd lu bodoh klo marah, itu sama kayak
Gibran dibilang Sah oleh mahkamah konstitusi - 
Lu bodoh klo melarang gibran mesrah2an sama pemilu, kan sah menurut konstitusi (wanita) hahaha",,,
Bayu Arafah,@bay_arafah,2024-02-01T18:38:07.000Z,"""Jangan Ngomong Masalah Persatuan dan Kebhinekaan kalau pemimpinnya saja mempolarisasi masyarakat dan melakukan Intervensi""
 
Pemilu terlalu mahal jika rezim kepemimpinan berlanjut dari yg sebelumnya. Pemilu tercipta agar sirkulasi elit didalam mengalami perubahan yang sehat.",,,
𝒷,@saturndawnoff,2024-02-01T18:30:24.000Z,"sorry guys.. harusnya gue tuf drafting tp gue gak berhenti buat scroll about this pemilu thingyy dan pas gue baca komenan orang tiktok tuh bikin overwhelmed kek parah, i cried, sedih banget bacanya. AND i cant stopp scrolling helpppo plss apa gw hapus tiktok aja..",1.0,,1.0
lily,@ojara_,2024-02-01T18:30:20.000Z,"Liat kalender februari jelek bgt
Mau ngambis ngelab tapi gabisa banyak tgl merah
Apa gue bablas pulang aja sampe pemilu
Tapi lumayan ada beberapa hari buat nyicil soxhlet sama ngevap ekstrak hskskksks",,,
ran,@tobiosatsu,2024-02-01T16:31:41.000Z,"Ga akan pernah capek ngomong panjang lebar ke keluarga, diskusi berharap mereka sadar dan pertimbangin buat ga milih nol dua di pemilu nanti. Gaada yang bagus dari mereka; orang2 serem di situ yang bisa gunain kekuasaan dan uang",1.0,,
Ina,@ruto_noona,2024-02-01T16:29:21.000Z,"Sweater hnm nya nanti aja deh klo sampe habis pemilu belum kepake juga :)
Sekalian ambil vest & rok yg dah ga kepake di rumah ortu",,,
Mcmay,@Mcmay30665465,2024-02-01T16:26:39.000Z,"Musim pemilu dan politik ngeri ya narasi"" nya, gak takut apa nge tweet kek gitu, bisa tidak ntar dipertanggung jawabkan di akhirat ntar, nulis gitu kalau salah takut fitnah kalau benar takut ghibah, apalagi di komennya hadeh, semoga yang buat narasi kek gitu segera tobat",1.0,,
Sansan sagara,@sansan_sagara,2024-02-01T16:25:33.000Z,"Kenapa sih pemilu harus tanggal 14 februari ?,.
Biar anak muda pada nyoblos gitu ?,.
Sebenernya gak ada pemilu pun anak muda setiap pas tanggal 14 februari mah pada nyoblos ..
Modal kasih coklat sama mawar ..",,,
Meursault,@BujangAlter,2024-02-01T16:24:31.000Z,"Inget, kalo nyoblos tuh jangan direkam 

Tapi ini bukan tentang pemilu.",,,
𝐚𝐧𝐚.,@ppanavit,2024-02-01T16:23:25.000Z,"pertanyaan terlucu dan konyol hari ini dinobatkan kepada pertanyaan dari 
@ppnarabbit
 yang tiba-tiba nanya, ""lu udah bisa ikut pemilu belom sih na?""

KEK???? MIN GUE TERLIHAT LEBIH MUDA DARI PHUWIN DAN SEPERTI ANAK DI BAWAH UMUR KAH?? ",,1.0,
warga sipil,@frizkiramadhani,2024-02-01T16:22:59.000Z,"Bansos jelang pemilu boleh aja, asal pake singkong food estate gunung mas.",,,
jahe merah | ment after dm,@jeewrapah,2024-02-01T16:20:51.000Z,Tiap buka X dan liat postingan ttg pemilu bikin istighfar mulu. Kok bisa gitu...,,,
domba vokalisnya The Papretur,@jasadmatii,2024-02-01T16:20:49.000Z,Dunia ini isinya cuma pemilu doang,,,1.0
To Infinity and Beyond!,@kuliahrapatkuy,2024-02-01T16:20:00.000Z,"Lihat org debat dg pilihan capresnya masing"", pusing sendiri aku dengernya wkwk. Ini ada 3 paslon yak. Coba 5 paslon pusinggg wkwkwkwk

Malah nanya aku ""km jd anggota ***S milih mana?"" 
Kujawab: Salah satu asas pemilu = Rahasia hehehehe daripada ikut debat mending nonton drakorr",,,
Muhsin Labib,@muhsinlabib,2024-02-01T16:19:45.000Z,"Kayaknya di sini ""election stress disorder” atau kondisi stres karena politik dan pemilu lebih banyak dialami oleh calon pemilih karena terlalu serius menikmati info dan narasi kampanye timses ketimbang para calon terpilih, apalagi kalau ikut taruhan...",,,8.0
gina,@banh3353un9,2024-02-01T16:19:14.000Z,knp pemilu harus pas valentine anjir pdhl pengen bagi2 coklat sm temen,3.0,,
Pecandu Raindu,@anakabahonline,2024-02-01T16:18:24.000Z,"Pemilu tinggal menghitung hari, dari sekarang kita harus bijak utk menentukkan pilihan kita. Pilih pemimpin yg ""mending"" dari track recordnya, dari jejak digitalnya & dilihat lgi visi misinya. Siapapun presidennya #AsalBukan02",,,
p,@darprivatshit,2024-02-01T16:15:50.000Z,pemilu bentar lagi yang penting gue ttp milih 01,,,
na,@dnays_,2024-02-01T16:15:46.000Z,Sampe eneg bgt sama kampanye pemilu tahun ini,,,
Sunshinee,@Alyafaad,2024-02-01T16:06:53.000Z,"Ke distract karna pemilu, stay safe Gaza ",,,
Niel,@NielTBZ,2024-02-01T16:06:45.000Z,It's almost 12 hari menjelang pemilu.. (lemes),,,
d,@daffaafurqon,2024-02-01T16:05:49.000Z,gara2 pemilu taun ini ak pgn jadi jubir,,,
Ani,@LovANI_Lah,2024-02-01T16:03:32.000Z,Alhamdulillah lega sekaligus bangga hari ini bisa menolak bingkisan salah satu caleg DPR RI. Ya Allah istiqomahkan hamba spya berintegritas dalam memilih dalam pemilu kali ini. Mudahkan juga dalam memilih wakil rakyat yg betul² pro rakyat. Aaamiiin,1.0,,
r,@ibunnnik,2024-02-01T16:00:03.000Z,jgn cpt cpt pemilu ak masi mwu leha leha dirumah ,,,
Kelvin Ferdynanias,@ferdynanias,2024-02-01T15:59:48.000Z,"Serba serbi pemilu 2024,
Siapapun pemenangnya... Kita akan tetap kalah

Begitulah kira-kira.",,,
awakmu,@ndakusahkepoo,2024-02-01T15:59:39.000Z,Pemilu tahun ini nicholas upload foto selfi lagi ga yaaa,,,
Marwah Alfyani Sinaga,@marwahhaha,2024-02-01T15:58:58.000Z,"Bisa jadi nanti yg menang pemilu siapa, yg dilantik siapa :( Tolong selamatkan negeri ini Ya Allah.",,,
sadakokoko,@chitatosmilo,2024-02-01T15:57:30.000Z,kemaren badan demam seharian gw mencoba untuk tidur tapi tidak karuan dan tiba2 malah ngelindur mikirin pemilu anjjjjj lg sakit malah kepikiran capres,,,
Am,@AmirulTH,2024-02-01T15:57:07.000Z,"Makin eneg ndelok berita pemilu, ndang buyar ndang mari po oo wes ndang di lantik arek kae",3.0,,1.0
sal,@salssweet,2024-02-01T15:54:41.000Z,"setelah ak pikir2, percuma bjir debat2in capres sm orang sekitar, kalo pd akhirnya nnti golput (sbg anak rantau yg blm pindahin lokasi pemilu)",,,
ikk,@se12ahluu,2024-02-01T15:53:53.000Z,Bersyukur juga punya mutualan di ig dan twitter yang informatif tentang informasi2 para calon presiden biar nda bingung-bingung amat pas pemilu,,,
☽,@sunriseau,2024-02-01T15:53:47.000Z,miris banget jujur karna musim pemilu ini jadi ngerasa sosmed & internet gak digunain sepantasnya karna masih banyak yg pemikirannya kayak gak bisa akses informasi kredibel di internet jir pls kalo tahun 90s / 2000 awal wajar deh teknologi blm se-advanced skrg,,,
