UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Doni setiyawan abdullah,@Donisetiyawana1,2024-02-09T21:56:15.000Z,Pemilu 2024:fair aman damai adalah jiwa persatuan Indonesia.,,,
ubaid.in,@IbnuUbaidi76853,2024-02-09T20:44:37.000Z,"Capek-capek kuliah hukum buang duit ama tenaga. Ketika ditanya masih itu. 
Rugi dong... mending server putih aj biar ngak munafik ama jurusan nya.
Wknda no more.
#Pemilu2024 #Perubahan",,,
twitteerr,@AspirasiGua,2024-02-09T20:07:08.000Z,"apa cmn gua ya yg ga tertarik pemilu dan udh cape banget sama per capresan ini. kaya kesel aja dikit2 debat dikit2 ribut gara2 debatin capres. kek lu dpt apasi dari dukung capres sampe segitunya bgt. mana fyp tiktok gua ilang semua keganti sama pemilu

#Pemilu2024 #capres",,,
Maysya Tri Putri,@maysya_tri,2024-02-09T19:16:49.000Z,"Jadi gini wir….
-
-
Sampe sekarang gue belom nikmatin serangan fajar inih….atuh dibantu lah bagi klean timses paslon 1,2 dan 3…
Fyi kek kalau ada tempat yang menyediakan angpo #GongXiFaCai 
#Pemilu2024 #AMIN #PrabowoGibran #GanjarMahfud",,,
Aidul Fitriciada A,@AidulFa,2024-02-09T19:07:55.000Z,Pemilu 2024: intelejen v intelejensi,,,1
Mazid,@Mazid1979,2024-02-09T18:54:46.000Z,Alhamdulillah... Pemilu 2024 di Riyadh Arab Saudi berjalan lancar dan aman.,,,
Ami,@astryar_,2024-02-09T18:40:38.000Z,Setengah 2 dini hari baru beres ngerekap form C pemberitahuan. Besok kami siap untuk nyebar undangan pemilu 2024~,,,
Aidul Fitriciada A,@AidulFa,2024-02-09T18:08:40.000Z,Pemilu 2024: militansi vs amunisi,,,
,@eeelaan,2024-02-09T17:53:14.000Z,"Alamat KTP berubah sejak 2018. Pemilu gbs nyoblos alasannya data masih migrasi. Lapor KTP bermasalah th 2022, tp dukcapil menyangkal. Tahun 2023 masalah lagi, ke dukcapil, diberesin, bikin IKD katanya biar sinkron. Lah 2024, DPT masih di alamat lama. Migrasi data aja teros ",1,,
bakekok,@p3ntilsapi,2024-02-09T17:45:53.000Z,"Ada tips & trick mengurangi kecurangan pada pemilu ga??

#Pemilu2024 #Pemilu2024AmanDamai",,,
nvm,@nvm_22lost,2024-02-09T17:43:11.000Z,"Negara kita itu kaya luar biasa. Tapi sayang, negara ini dipalak oleh bangsanya sendiri, untuk memberi makan para kaum borjuis yang seakan punya andil besar dalam tata negara. Korbannya? Rakyat biasa, petani, guru, buruh, keluarga menengah kebawah. 
#pemilu
#pemilu2024",,,
fazah,@Fazahvyin,2024-02-09T17:37:44.000Z,"To : Rakyat Indonesia
Pilihan Boleh Berbeda tapi tetap satu jua seperti Bhineka Tunggal Ika yaitu Kesatuan Indonesia. #Pemilu2024 #PemiluDamai2024 #",,,
jalan sore sambil mikir,@citarasalokal,2024-02-09T17:28:11.000Z,"Untuk para akar rumput pendukung 01, 02, dan 03, sadarlah bahwa kita cuma dipermainkan oleh para elite oligarki. Kompetisi pilpres ini semu. Siapapun pemenangnya nanti, yang menang tetap oligarki, kita tetap miskin dan gigit jari. #Pemilu2024",,,
Lapas Martapura,@lapasmartapura,2024-02-09T17:24:21.000Z,"1.Kepala Kantor Wilayah Kemenkumham Sumsel Ilham Djaya Apresiasi Lapas Kelas IIB Kayu Agung berhasil melaksanakan simulasi pelaksanaan Pemilu Tahun 2024 di Aula Lapas pada hari ini
@Kemenkumham_RI
 
@kumham_sumsel
 
Ilham Djaya
#kumhamsumsel 
#Ilhamdjaya",1,5,2
Golambing,@banggolambing,2024-02-09T17:13:40.000Z,"Pilihan gue pada #Pemilu2024 

Presiden: 
@prabowo
 - 
@gibran_tweet
 

@DPR_RI
 : 
@adearmando61
  @psi_id
@dprddkijakarta
 : Agus Hamonangan 
@psi_id
DPD: ?",,,
seul kim_,@yennandgeralt,2024-02-09T16:54:49.000Z,"Istimewanya AMIN membawa arus perubahan dalam pemilu 2024. 

Yang kadang aku masih belum percaya dan terus bertanya²

""Kok bisa mereka menggerakkan berbagai golongan dan lapisan masyarakat, bukan hanya utk ikut menyuarakan demokrasi, tapi juga berbagi rezeki?""

-Thread",1,,
pemecah kuaci,@eunikero,2024-02-09T16:51:16.000Z,"Yg malam ini standby di JIS harap jaga diri ya, jaga kesehatan jg krn hujan deras.

Yg berangkat besok, hati-hati di jalan. Nikmati pesta demokrasi di ibukota, senang-senang di pemilu 2024.",,,1
Nn.,@ucapnona,2024-02-09T16:43:13.000Z,setelah 10 februari siapkan mental untuk mulai memasuki post-traumatic stress disorder after kampanye pemilu 2024 era,,,
kosong,@seunghw_one,2024-02-09T16:42:03.000Z,"anyway pemilu 2019 gw posisi di Jakarta.. (meskipun saat itu golput) alamat tps udah bener sesuai ktp, dan dapet surat undangan juga. so how come 2024 ini dengan sotoynya admin kp/u or siapa pun itu ngasih gue nyoblos di bandung lol.",,,
suka ga suka,@itsmeterre,2024-02-09T16:19:52.000Z,Orang lagi Sincia (Imlek) tetep aja pake kampanye Akbar.. blom apa-apa udah keliatan gada toleransinya payah ah. Gak asik pada #Pemilu2024,,,
