Text,Case_Folding,Cleaning_Text,Normalisasi_Text,Formalisasi_Text,Remove_Text,Stemming_Text,Tokenize_Text,Processed_Text,Polarity Score,Labels
"Polisi Sebut 514 TPS di Papua Belum Mencoblos di Pemilu 2024, Ini Penyebabnya","polisi sebut 514 tps di papua belum mencoblos di pemilu 2024, ini penyebabnya",polisi sebut tps di papua belum mencoblos di pemilu  ini penyebabnya,polisi sebut tps di papua belum mencoblos di pemilu ini penyebabnya,polisi sebut tps di papua belum mencoblos di pemilu ini penyebabnya,polisi papua mencoblos pemilu penyebabnya,polisi papua coblos pemilu sebab,"['polisi', 'papua', 'coblos', 'pemilu', 'sebab']",polisi papua coblos pemilu sebab,3,Positive
"Kelelahan, 4 Petugas KPPS di Kulonprogo Sakit Saat Bertugas pada Pemilu 2024 https://jogjapolitan.harianjogja.com/read/2024/02/16/514/1165059/kelelahan-4-petugas-kpps-di-kulonprogo-sakit-saat-bertugas-pada-pemilu-2024?utm_source=dlvr.it&utm_medium=twitter… #beritajogja #jogja #jogjaistimewa","kelelahan, 4 petugas kpps di kulonprogo sakit saat bertugas pada pemilu 2024 https://jogjapolitan.harianjogja.com/read/2024/02/16/514/1165059/kelelahan-4-petugas-kpps-di-kulonprogo-sakit-saat-bertugas-pada-pemilu-2024?utm_source=dlvr.it&utm_medium=twitter… #beritajogja #jogja #jogjaistimewa",kelelahan  petugas kpps di kulonprogo sakit saat bertugas pada pemilu https  jogjapolitan harianjogja com read   kelelahan petugas kpps di kulonprogo sakit saat bertugas pada pemilu utm source dlvr it utm medium twitter    ,kelelahan petugas kpps di kulonprogo sakit saat bertugas pada pemilu https jogjapolitan harianjogja com read kelelahan petugas kpps di kulonprogo sakit saat bertugas pada pemilu utm source dlvr it utm medium twitter,kelelahan petugas kpps di kulonprogo sakit saat bertugas pada pemilu https jogjapolitan harianjogja com read kelelahan petugas kpps di kulonprogo sakit saat bertugas pada pemilu utm source dlvr it utm medium twitter,kelelahan petugas kpps kulonprogo sakit bertugas pemilu https jogjapolitan harianjogja read kelelahan petugas kpps kulonprogo sakit bertugas pemilu utm source dlvr utm medium twitter,lelah tugas kpps kulonprogo sakit tugas pemilu https jogjapolitan harianjogja read lelah tugas kpps kulonprogo sakit tugas pemilu utm source dlvr utm medium twitter,"['lelah', 'tugas', 'kpps', 'kulonprogo', 'sakit', 'tugas', 'pemilu', 'https', 'jogjapolitan', 'harianjogja', 'read', 'lelah', 'tugas', 'kpps', 'kulonprogo', 'sakit', 'tugas', 'pemilu', 'utm', 'source', 'dlvr', 'utm', 'medium', 'twitter']",lelah tugas kpps kulonprogo sakit tugas pemilu https jogjapolitan harianjogja read lelah tugas kpps kulonprogo sakit tugas pemilu utm source dlvr utm medium twitter,-4,Negative
"Pilihan gw di pemilu 2024 
Presiden : ganjar - mahfud ( kalah )
DPR-RI : vita ervina 
DPD RI : chasyta khatmandu
DPRD prov : m. isnaeni
DPRD kab/kota : tauhid 

Ada yg samaan kita satu dapil …?","pilihan gw di pemilu 2024 
presiden : ganjar - mahfud ( kalah )
dpr-ri : vita ervina 
dpd ri : chasyta khatmandu
dprd prov : m. isnaeni
dprd kab/kota : tauhid 

ada yg samaan kita satu dapil …?",pilihan gw di pemilu  presiden  ganjar  mahfud  kalah  dpr ri  vita ervina dpd ri  chasyta khatmandu dprd prov  m isnaeni dprd kab kota  tauhid  ada yg samaan kita satu dapil  ,pilihan saya di pemilu presiden ganjar mahfud kalah dpr ri vita ervina dpd ri chasyta khatmandu dprd prov m isnaeni dprd kab kota tauhid ada yang  samaan kita satu dapil,pilihan saya di pemilu presiden ganjar mahfud kalah dpr ri vita ervina dpd ri chasyta khatmandu dprd prov m isnaeni dprd kab kota tauhid ada yang samaan kita satu dapil,pilihan pemilu presiden ganjar mahfud kalah vita ervina dpd chasyta khatmandu dprd prov isnaeni dprd kab kota tauhid samaan dapil,pilih pemilu presiden ganjar mahfud kalah vita ervina dpd chasyta khatmandu dprd prov isnaeni dprd kab kota tauhid sama dapil,"['pilih', 'pemilu', 'presiden', 'ganjar', 'mahfud', 'kalah', 'vita', 'ervina', 'dpd', 'chasyta', 'khatmandu', 'dprd', 'prov', 'isnaeni', 'dprd', 'kab', 'kota', 'tauhid', 'sama', 'dapil']",pilih pemilu presiden ganjar mahfud kalah vita ervina dpd chasyta khatmandu dprd prov isnaeni dprd kab kota tauhid sama dapil,4,Positive
"Personil Polsek Kelapa Dua melaksanakan pengamanan pemungutan suara #Pemilu2024 di salah satu TPS di Kel. Bojong Nangka Kec. Kelapa Dua, Rabu (14/2). 

#PolsekKelapaDua #PolresTangerangSelatan #PoldaMetroJaya","personil polsek kelapa dua melaksanakan pengamanan pemungutan suara #pemilu2024 di salah satu tps di kel. bojong nangka kec. kelapa dua, rabu (14/2). 

#polsekkelapadua #polrestangerangselatan #poldametrojaya",personil polsek kelapa dua melaksanakan pengamanan pemungutan suara  di salah satu tps di kel bojong nangka kec kelapa dua rabu       ,personil polsek kelapa dua melaksanakan pengamanan pemungutan suara di salah satu tps di kel bojong nangka kec kelapa dua rabu,personil polsek kelapa dua melaksanakan pengamanan pemungutan suara di salah satu tps di kel bojong nangka kec kelapa dua rabu,personil polsek kelapa melaksanakan pengamanan pemungutan suara salah bojong nangka kec kelapa rabu,personil polsek kelapa laksana aman mungut suara salah bojong nangka kec kelapa rabu,"['personil', 'polsek', 'kelapa', 'laksana', 'aman', 'mungut', 'suara', 'salah', 'bojong', 'nangka', 'kec', 'kelapa', 'rabu']",personil polsek kelapa laksana aman mungut suara salah bojong nangka kec kelapa rabu,-4,Negative
"Demi menjaga keamanan dan kelancaran Pemilu 2024 Kawal Ketat Kotak Suara.

#pemilu2024","demi menjaga keamanan dan kelancaran pemilu 2024 kawal ketat kotak suara.

#pemilu2024",demi menjaga keamanan dan kelancaran pemilu kawal ketat kotak suara  ,demi menjaga keamanan dan kelancaran pemilu kawal ketat kotak suara,demi menjaga keamanan dan kelancaran pemilu kawal ketat kotak suara,menjaga keamanan kelancaran pemilu kawal ketat kotak suara,jaga aman lancar pemilu kawal ketat kotak suara,"['jaga', 'aman', 'lancar', 'pemilu', 'kawal', 'ketat', 'kotak', 'suara']",jaga aman lancar pemilu kawal ketat kotak suara,3,Positive
"H+2 Pemilu 2024: 

Stlh selesai pemilu 2024 ini, kira2 legacy/warisan apa yg bisa dberikan kpd gnerasi muda bangsa ini? Kalau org Jawa bilang: ""ngunduh wohing pakarti""/menuai apa yg  ditabur..maka, apakah yg sbnarnya sdg dtabur & apakah yg akan dituai kelak? Indonesia Emas kah?","h+2 pemilu 2024: 

stlh selesai pemilu 2024 ini, kira2 legacy/warisan apa yg bisa dberikan kpd gnerasi muda bangsa ini? kalau org jawa bilang: ""ngunduh wohing pakarti""/menuai apa yg  ditabur..maka, apakah yg sbnarnya sdg dtabur & apakah yg akan dituai kelak? indonesia emas kah?",h pemilu   stlh selesai pemilu ini kira legacy warisan apa yg bisa dberikan kpd gnerasi muda bangsa ini kalau org jawa bilang  ngunduh wohing pakarti menuai apa yg ditabur maka apakah yg sbnarnya sdg dtabur  apakah yg akan dituai kelak indonesia emas kah ,h pemilu setelah  selesai pemilu ini kira legacy warisan apa yang  bisa dberikan kepada  gnerasi muda bangsa ini kalau orang jawa bilang ngunduh wohing pakarti menuai apa yang  ditabur maka apakah yang  sbnarnya sedang  dtabur apakah yang  akan dituai kelak indonesia emas kah,h pemilu setelah selesai pemilu ini kira legacy warisan apa yang bisa dberikan kepada gnerasi muda bangsa ini kalau orang jawa bilang ngunduh wohing pakarti menuai apa yang ditabur maka apakah yang sbnarnya sedang dtabur apakah yang akan dituai kelak indonesia emas kah,pemilu selesai pemilu legacy warisan dberikan gnerasi muda bangsa orang jawa bilang ngunduh wohing pakarti menuai ditabur sbnarnya dtabur dituai kelak indonesia emas,pemilu selesai pemilu legacy waris dberikan gnerasi muda bangsa orang jawa bilang ngunduh wohing pakarti tuai tabur sbnarnya dtabur tuai kelak indonesia emas,"['pemilu', 'selesai', 'pemilu', 'legacy', 'waris', 'dberikan', 'gnerasi', 'muda', 'bangsa', 'orang', 'jawa', 'bilang', 'ngunduh', 'wohing', 'pakarti', 'tuai', 'tabur', 'sbnarnya', 'dtabur', 'tuai', 'kelak', 'indonesia', 'emas']",pemilu selesai pemilu legacy waris dberikan gnerasi muda bangsa orang jawa bilang ngunduh wohing pakarti tuai tabur sbnarnya dtabur tuai kelak indonesia emas,3,Positive
"Ini menunjukkan keinginan masyarakat untuk ikut serta dalam menentukan arah masa depan demokrasi bangsa #Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju","ini menunjukkan keinginan masyarakat untuk ikut serta dalam menentukan arah masa depan demokrasi bangsa #pemilu2024
#pemiludamai2024
#pemiludamainegerimaju
#pemilu2024bebashoaks
#pemilu2024menujuindonesiamaju",ini menunjukkan keinginan masyarakat untuk ikut serta dalam menentukan arah masa depan demokrasi bangsa     ,ini menunjukkan keinginan masyarakat untuk ikut serta dalam menentukan arah masa depan demokrasi bangsa,ini menunjukkan keinginan masyarakat untuk ikut serta dalam menentukan arah masa depan demokrasi bangsa,masyarakat menentukan arah demokrasi bangsa,masyarakat tentu arah demokrasi bangsa,"['masyarakat', 'tentu', 'arah', 'demokrasi', 'bangsa']",masyarakat tentu arah demokrasi bangsa,-2,Negative
"Soal Dugaan Kecurangan Pemilu 2024, Timses Paslon 1 dan 3 DIY Beberkan Sejumlah Temuan","soal dugaan kecurangan pemilu 2024, timses paslon 1 dan 3 diy beberkan sejumlah temuan",soal dugaan kecurangan pemilu  timses paslon dan diy beberkan sejumlah temuan,soal dugaan kecurangan pemilu timses paslon dan diy beberkan sejumlah temuan,soal dugaan kecurangan pemilu timses paslon dan diy beberkan sejumlah temuan,dugaan kecurangan pemilu timses paslon diy beberkan temuan,duga curang pemilu timses paslon diy kan temu,"['duga', 'curang', 'pemilu', 'timses', 'paslon', 'diy', 'kan', 'temu']",duga curang pemilu timses paslon diy kan temu,0,Neutral
"Soal Dugaan Kecurangan Pemilu 2024, Timses Paslon 1 dan 3 DIY Beberkan Sejumlah Temuan","soal dugaan kecurangan pemilu 2024, timses paslon 1 dan 3 diy beberkan sejumlah temuan",soal dugaan kecurangan pemilu  timses paslon dan diy beberkan sejumlah temuan,soal dugaan kecurangan pemilu timses paslon dan diy beberkan sejumlah temuan,soal dugaan kecurangan pemilu timses paslon dan diy beberkan sejumlah temuan,dugaan kecurangan pemilu timses paslon diy beberkan temuan,duga curang pemilu timses paslon diy kan temu,"['duga', 'curang', 'pemilu', 'timses', 'paslon', 'diy', 'kan', 'temu']",duga curang pemilu timses paslon diy kan temu,0,Neutral
"Pelayanan Kesehatan Kepada Petugas Pengamanan TPS dan PPS Pemilu 2024 Polres Bojonegoro.

@divisihumaspolri
@spripim_polri
@humaspoldajatim
#operasimantapbrata
#netralitaspolri
#Pemiluindonesiadamai2024","pelayanan kesehatan kepada petugas pengamanan tps dan pps pemilu 2024 polres bojonegoro.

@divisihumaspolri
@spripim_polri
@humaspoldajatim
#operasimantapbrata
#netralitaspolri
#pemiluindonesiadamai2024",pelayanan kesehatan kepada petugas pengamanan tps dan pps pemilu polres bojonegoro       ,pelayanan kesehatan kepada petugas pengamanan tps dan pps pemilu polres bojonegoro,pelayanan kesehatan kepada petugas pengamanan tps dan pps pemilu polres bojonegoro,pelayanan kesehatan petugas pengamanan pps pemilu polres bojonegoro,layan sehat tugas aman pps pemilu polres bojonegoro,"['layan', 'sehat', 'tugas', 'aman', 'pps', 'pemilu', 'polres', 'bojonegoro']",layan sehat tugas aman pps pemilu polres bojonegoro,5,Positive
